대조 항목(화면 셀 ↔ 원본 필드),비교 건수,불일치,판정
문헌번호,1804,0,일치
문헌일,1804,0,일치
출원번호,1804,0,일치
출원일,1804,0,일치
공개/공고번호,1804,0,일치
공개/공고일,1804,0,일치
등록번호,1804,0,일치
등록일,1804,0,일치
문헌종류,1804,0,일치
권리상태,1804,0,일치
원출원번호,1804,0,일치
국제출원번호,1804,0,일치
우선권주장일,1804,0,일치
심사청구일,1804,0,일치
존속기간(예상)만료일,1804,0,일치
최종처분상태,1804,0,일치
출원구분,1804,0,일치
번역문 제출일,1804,0,일치
실시권 등록일,1804,0,일치
지정국,1804,0,일치
청구항 수,1804,0,일치
도면 수,1804,0,일치
출원인,1804,0,일치
출원인 주소,1612,0,일치
발명자,1804,0,일치
발명자 주소,1804,0,일치
대리인,1804,0,일치
심사관,1804,0,일치
특허고객번호 (KR),1804,0,일치
대표출원인,1804,0,일치
IPC,1804,0,일치
CPC,1804,0,일치
접수·발송일,1200,0,일치
서류명,1200,0,일치
처리상태,1200,0,일치
권리변동 이력 값,7,0,일치
패밀리 문헌번호 목록,728,0,일치
심판 종류,10,0,일치
심판 상태,10,0,일치
심판 번호,10,0,일치
출원인 주소(다수),192,0,일치
서열목록,24,0,일치
합계,62117,0,일치
