문헌번호,문헌종류,문헌종류(표기안),권리상태,발명의 명칭,오류 합계,원본오류 코드,원본오류 내용,표시오류 종수,표시오류 코드,표시오류 내용(문헌별 값),도면 보류(오류 아님)
KR 10-2702860 B1,B1,등록특허공보,등록공고,대체 광고를 재생하는 디스플레이 장치 및 그 디스플레이 장치의 제어 방법,13,E13 E4,[E13] 패밀리 동일 문헌 1쌍 중복 적재 (EP 3361745 A1 / EP 03361745 A1) / [E4] claim_count(10) ≠ 삭제 제외 실질 항 수(16) · claims 20 · 삭제 4,11,D1 D3 D7 D2 D5 D6 D12 D8 D8c D4 D10,[D5] 상세설명에 하위섹션+전문 중복 렌더(섹션 23022자 = 전문 20569 + 하위섹션 2562) / [D6] 도면 미반입인데 패널 노출(서지 도면 수 0건 / 패널 캡션 1개 · 이미지 없음) / [D12] 서지 청구항 수 10개 ↔ 청구범위 목록 20개(삭제 4) 불일치 / [D8] 독립항 목록 20개 중 4개가 본문 '삭제' / [D8c] 종속항 0 · 삭제항 4 → 독립/전체 토글 결과 동일(20개) / [D4] 공개번호(10-2018-0093702)와 표시 일자(2024-09-05) 계열 불일치 · 문헌일 2018-08-22 / [D10] 패밀리 목록 6행 중 1행이 동일 문헌 중복 노출,[F1] drawing_count 0 (도면의 설명 1원소 보유) [F2] 도면 설명 1원소에 도 5개 뭉침
KR 10-2624133 B1,B1,등록특허공보,등록공고,보안 멀티캐스트/브로드캐스트 레인징,12,E13 E9,[E13] 패밀리 동일 문헌 1쌍 중복 적재 (EP 3651410 A1 / EP 03651410 A1) / [E9] 하위섹션 '기술분야'(technology_field) 비었는데 전문에 표제 존재,10,D1 D3 D7 D2 D5 D6 D12 D8 D4 D10,[D5] 상세설명에 하위섹션+전문 중복 렌더(섹션 14254자 = 전문 13865 + 하위섹션 581) / [D6] 도면 미반입인데 패널 노출(서지 도면 수 0건 / 패널 캡션 1개 · 이미지 없음) / [D12] 서지 청구항 수 20개 ↔ 청구범위 목록 22개(삭제 2) 불일치 / [D8] 독립항 목록 5개 중 2개가 본문 '삭제' / [D4] 공개번호(10-2022-0129518)와 표시 일자(2024-01-11) 계열 불일치 · 문헌일 2022-09-23 / [D10] 패밀리 목록 9행 중 1행이 동일 문헌 중복 노출,[F1] drawing_count 0 (도면의 설명 1원소 보유) [F2] 도면 설명 1원소에 도 5개 뭉침
KR 10-2648993 B1,B1,등록특허공보,등록공고,사용자의 감정 상태에 기반하여 아바타를 제공하기 위한 전자 장치 및 그에 관한 방법,12,E13 E4,[E13] 패밀리 동일 문헌 1쌍 중복 적재 (EP 3871195 A1 / EP 03871195 A1) / [E4] claim_count(10) ≠ 삭제 제외 실질 항 수(12) · claims 20 · 삭제 8,10,D1 D3 D7 D2 D5 D6 D12 D8 D8c D10,[D5] 상세설명에 하위섹션+전문 중복 렌더(섹션 39820자 = 전문 39146 + 하위섹션 3653) / [D6] 도면 미반입인데 패널 노출(서지 도면 수 0건 / 패널 캡션 1개 · 이미지 없음) / [D12] 서지 청구항 수 10개 ↔ 청구범위 목록 20개(삭제 8) 불일치 / [D8] 독립항 목록 20개 중 8개가 본문 '삭제' / [D8c] 종속항 0 · 삭제항 8 → 독립/전체 토글 결과 동일(20개) / [D10] 패밀리 목록 4행 중 1행이 동일 문헌 중복 노출,[F1] drawing_count 0 (도면의 설명 1원소 보유) [F2] 도면 설명 1원소에 도 13개 뭉침
KR 10-2691020 B1,B1,등록특허공보,등록공고,일과 생활에 대한 정보를 제공하기 위한 전자 장치 및 방법,12,E13 E4,[E13] 패밀리 동일 문헌 1쌍 중복 적재 (EP 3500989 A1 / EP 03500989 A1) / [E4] claim_count(20) ≠ 삭제 제외 실질 항 수(21) · claims 25 · 삭제 4,10,D1 D3 D7 D2 D5 D6 D12 D8 D4 D10,[D5] 상세설명에 하위섹션+전문 중복 렌더(섹션 49112자 = 전문 46730 + 하위섹션 2681) / [D6] 도면 미반입인데 패널 노출(서지 도면 수 0건 / 패널 캡션 1개 · 이미지 없음) / [D12] 서지 청구항 수 20개 ↔ 청구범위 목록 25개(삭제 4) 불일치 / [D8] 독립항 목록 7개 중 4개가 본문 '삭제' / [D4] 공개번호(10-2018-0020745)와 표시 일자(2024-08-01) 계열 불일치 · 문헌일 2018-02-28 / [D10] 패밀리 목록 7행 중 1행이 동일 문헌 중복 노출,[F1] drawing_count 0 (도면의 설명 1원소 보유) [F2] 도면 설명 1원소에 도 20개 뭉침
KR 10-2635013 B1,B1,등록특허공보,등록공고,ＪＡＫ 저해제에 대한 국소 제형,11,E13 E14,[E13] 패밀리 동일 문헌 2쌍 중복 적재 (EP 3087972 A1 / EP 03087972 A1 / JP 6657441 B2 / JP 06657441 B2) / [E14] 명칭에 전각 영숫자 — 'ＪＡＫ 저해제에 대한 국소 제형',9,D1 D3 D7 D2 D5 D6 D12 D8 D10,[D5] 상세설명에 하위섹션+전문 중복 렌더(섹션 47012자 = 전문 48464 + 하위섹션 5385) / [D6] 도면 미반입인데 패널 노출(서지 도면 수 0건 / 패널 캡션 1개 · 이미지 없음) / [D12] 서지 청구항 수 18개 ↔ 청구범위 목록 82개(삭제 64) 불일치 / [D8] 독립항 목록 65개 중 64개가 본문 '삭제' / [D10] 패밀리 목록 79행 중 2행이 동일 문헌 중복 노출,[F1] drawing_count 0 (도면의 설명 1원소 보유) [F2] 도면 설명 1원소에 도 17개 뭉침
KR 10-2650550 B1,B1,등록특허공보,연차료납부,"입자 혼합체, 그것을 사용한 광산란성 향상 방법, 그리고 그것을 포함하는 광산란 부재 및 광학 디바이스",11,E13 E9,[E13] 패밀리 동일 문헌 1쌍 중복 적재 (JP 7046980 B2 / JP 07046980 B2) / [E9] 하위섹션 '발명의 효과'(effect_of_invention) 비었는데 전문에 표제 존재,9,D1 D3 D7 D2 D5 D6 D12 D8 D10,[D5] 상세설명에 하위섹션+전문 중복 렌더(섹션 21767자 = 전문 23041 + 하위섹션 1519) / [D6] 도면 미반입인데 패널 노출(서지 도면 수 0건 / 패널 캡션 1개 · 이미지 없음) / [D12] 서지 청구항 수 7개 ↔ 청구범위 목록 14개(삭제 7) 불일치 / [D8] 독립항 목록 8개 중 7개가 본문 '삭제' / [D10] 패밀리 목록 7행 중 1행이 동일 문헌 중복 노출,[F1] drawing_count 0 (도면의 설명 1원소 보유)
KR 10-2620102 B1,B1,등록특허공보,등록공고,페로브스카이트 물질 디바이스에서의 이중- 및 삼중-층 계면 층,10,E13 E9,[E13] 패밀리 동일 문헌 2쌍 중복 적재 (EP 3706181 A1 / EP 03706181 A1 / EP 4422379 A2 / EP 04422379 A2) / [E9] 하위섹션 '기술분야'(technology_field) 비었는데 전문에 표제 존재,8,D1 D3 D7 D2 D5 D6 D4 D10,[D5] 상세설명에 하위섹션+전문 중복 렌더(섹션 53987자 = 전문 53564 + 하위섹션 1101) / [D6] 도면 미반입인데 패널 노출(서지 도면 수 0건 / 패널 캡션 1개 · 이미지 없음) / [D4] 공개번호(10-2023-0044328)와 표시 일자(2024-01-03) 계열 불일치 · 문헌일 2023-04-03 / [D10] 패밀리 목록 119행 중 2행이 동일 문헌 중복 노출,[F1] drawing_count 0 (도면의 설명 1원소 보유) [F2] 도면 설명 1원소에 도 13개 뭉침
KR 10-2638059 B1,B1,등록특허공보,등록공고,"시멘트용 첨가제, 시멘트 혼화제, 시멘트 조성물, 성형체, 및 성형체의 강도 향상 방법",10,E13 E9,[E13] 패밀리 동일 문헌 2쌍 중복 적재 (JP 6959475 B2 / EP 3954667 A1 / EP 03954667 A1 / JP 06959475 B2) / [E9] 하위섹션 '발명의 효과'(effect_of_invention) 비었는데 전문에 표제 존재,8,D1 D3 D7 D2 D5 D12 D8 D10,[D5] 상세설명에 하위섹션+전문 중복 렌더(섹션 49214자 = 전문 52464 + 하위섹션 1689) / [D12] 서지 청구항 수 15개 ↔ 청구범위 목록 17개(삭제 2) 불일치 / [D8] 독립항 목록 4개 중 2개가 본문 '삭제' / [D10] 패밀리 목록 8행 중 2행이 동일 문헌 중복 노출,
KR 10-2650760 B1,B1,등록특허공보,등록공고,피복 입자,9,E13 E9,[E13] 패밀리 동일 문헌 1쌍 중복 적재 (JP 6772401 B2 / JP 06772401 B2) / [E9] 하위섹션 '발명의 효과'(effect_of_invention) 비었는데 전문에 표제 존재,7,D1 D3 D7 D2 D5 D6 D10,[D5] 상세설명에 하위섹션+전문 중복 렌더(섹션 40287자 = 전문 44126 + 하위섹션 1774) / [D6] 도면 미반입인데 패널 노출(서지 도면 수 0건 / 패널 캡션 1개 · 이미지 없음) / [D10] 패밀리 목록 7행 중 1행이 동일 문헌 중복 노출,[F1] drawing_count 0 (도면의 설명 1원소 보유)
KR 10-2620334 B1,B1,등록특허공보,등록공고,점착 시트 및 표시체,12,E13,[E13] 패밀리 동일 문헌 1쌍 중복 적재 (JP 6727786 B2 / JP 06727786 B2),11,D1 D3 D7 D2 D5 D6 D12 D8 D8c D4 D10,[D5] 상세설명에 하위섹션+전문 중복 렌더(섹션 53547자 = 전문 50045 + 하위섹션 4088) / [D6] 도면 미반입인데 패널 노출(서지 도면 수 0건 / 패널 캡션 1개 · 이미지 없음) / [D12] 서지 청구항 수 2개 ↔ 청구범위 목록 10개(삭제 8) 불일치 / [D8] 독립항 목록 10개 중 8개가 본문 '삭제' / [D8c] 종속항 0 · 삭제항 8 → 독립/전체 토글 결과 동일(10개) / [D4] 공개번호(10-2017-0045117)와 표시 일자(2024-01-02) 계열 불일치 · 문헌일 2017-04-26 / [D10] 패밀리 목록 5행 중 1행이 동일 문헌 중복 노출,[F1] drawing_count 0 (도면의 설명 1원소 보유)
