표시오류,관측건수,전체(1804건) 비율,확인방법,대표 문헌번호,관측값
D1 문헌종류 코드 노출,1804,100%,화면 전수 1804건 로드 관측,KR 10-2620084 B1 / KR 10-2620258 B1 / KR 10-2620415 B1,문헌종류=B1
D3 제목 국가코드 중복,1804,100%,화면 전수 1804건 로드 관측,KR 10-2620084 B1 / KR 10-2620258 B1 / KR 10-2620415 B1,KR + KR 10-2620084 B1
D7 빈 서지 5행 노출,1804,100%,화면 전수 1804건 로드 관측,KR 10-2620084 B1 / KR 10-2620258 B1 / KR 10-2620415 B1,권리변동·최종처분·출원구분·실시권·지정국 전부 —
D2 서지 마지막 행 셀 누락,1780,98%,화면 전수 1804건 로드 관측,KR 10-2620084 B1 / KR 10-2620258 B1 / KR 10-2620415 B1,지정국 행 3셀(서열목록 라벨 없음)
D5 상세설명 하위섹션 + 전문 중복 렌더,1758,97%,화면 전수 1804건 로드 관측,KR 10-2620084 B1 / KR 10-2620258 B1 / KR 10-2620415 B1,섹션 길이 18778 ≈ 전문 15432 + 하위섹션 3621
D6 도면 미반입 상태에서 도면 패널·캡션 노출,1717,95%,화면 전수 1804건 로드 관측,KR 10-2620084 B1 / KR 10-2620258 B1 / KR 10-2620415 B1,서지 도면 수 0건 / 패널 캡션 1개 · 이미지 없음
D12 서지 청구항 수 ↔ 목록 항 수 차이,1245,69%,화면 전수 1804건 로드 관측,KR 10-2620258 B1 / KR 10-2620415 B1 / KR 10-2619202 B1,서지 10개 / 목록 12개(삭제 2)
D8 독립항 모드에 삭제항 노출,1237,68%,화면 전수 1804건 로드 관측,KR 10-2620258 B1 / KR 10-2620415 B1 / KR 10-2619202 B1,독립항 4개 중 삭제 2개
D4 공개번호 ↔ 표시 일자 계열 불일치,985,54%,화면 전수 1804건 로드 관측,KR 10-2620084 B1 / KR 10-2620258 B1 / KR 10-2620415 B1,번호=10-2018-0013604(공개) 일자=2024-01-02(공고)
D4b 공개/공고번호 없음 · 일자만 표시,392,21%,화면 전수 1804건 로드 관측,KR 10-2619202 B1 / KR 10-2620436 B1 / KR 10-2622456 B1,번호 — / 일자=2024-01-02
D8c 독립/전체 토글 결과 동일(종속 0 · 삭제 보유),309,17%,화면 전수 1804건 로드 관측,KR 10-2620415 B1 / KR 10-2620068 B1 / KR 10-2620675 B1,46항 전부 독립항 표시
D10 패밀리 목록 동일 문헌 중복 노출,195,10%,화면 전수 1804건 로드 관측,KR 10-2620084 B1 / KR 10-2619739 B1 / KR 10-2620102 B1,8행 중 중복 1행
D9 서지 권리변동 — ↔ 이력 블록 존재,7,0%,화면 전수 1804건 로드 관측,KR 10-2620084 B1 / KR 10-2620258 B1 / KR 10-2620415 B1,이력 1건
