검증 항목(화면 ↔ 원본),검사 건수,불일치,판정
서지 청구항 수 셀 = claim_count,1804,0,일치
서지 도면 수 셀 = drawing_count,1804,0,일치
전체청구항 항 수 = claims 길이,1804,0,일치
'삭제' 본문 수 = 원본 삭제항 수,1804,0,일치
종속항 라벨 수 = depends_on 보유 수,1804,0,일치
도면 캡션·헤더 수 = figures 원소 수,1804,0,일치
패밀리 목록 항목 수 = items 수,1804,0,일치
패밀리 헤더 건수 = document_count,1804,0,일치
패밀리 번호 형식 파싱,1804,0,일치
심판 블록 노출 = trial 유무,1804,0,일치
권리변동 이력 블록 = change_histories,1804,0,일치
행정처리 블록 = admin_process,1804,0,일치
상세설명 하위섹션 표제 수 = 채움 섹션,1804,0,일치
서열목록 셀 = sequence_listing_yn,1804,0,일치
지정국 행 셀 수 = 서열목록 유무,1804,0,일치
